Time;Home Team;Away Team;Result
zondag 04.02.2018 20:00;SV Zulte Waregem;KV Oostende;1 - 1
vrijdag 09.02.2018 20:30;KRC Genk;SV Zulte Waregem;3 - 1
zaterdag 10.02.2018 18:00;KV Oostende;RSC Anderlecht;2 - 0
zaterdag 10.02.2018 20:00;KV Kortrijk;Antwerp;4 - 0
zaterdag 10.02.2018 20:00;KV Mechelen;KAS Eupen;1 - 0
zaterdag 10.02.2018 20:30;KAA Gent;STVV;3 - 0
zondag 11.02.2018 14:30;Waasland-Beveren;Club Brugge;1 - 1
zondag 11.02.2018 18:00;Standard de Liège;RE Mouscron;4 - 3
zondag 11.02.2018 20:00;Sporting Charleroi;Sporting Lokeren;1 - 1
vrijdag 16.02.2018 20:30;STVV;RSC Anderlecht;1 - 0
zaterdag 17.02.2018 18:00;Antwerp;KV Oostende;0 - 0
zaterdag 17.02.2018 20:00;SV Zulte Waregem;KAS Eupen;3 - 2
zaterdag 17.02.2018 20:00;Sporting Lokeren;KV Kortrijk;0 - 1
zaterdag 17.02.2018 20:30;Club Brugge;KRC Genk;2 - 2
zondag 18.02.2018 14:30;KAA Gent;KV Mechelen;2 - 2
zondag 18.02.2018 18:00;Sporting Charleroi;Standard de Liège;1 - 1
zondag 18.02.2018 20:00;RE Mouscron;Waasland-Beveren;2 - 2
vrijdag 23.02.2018 20:30;KRC Genk;Antwerp;4 - 0
zaterdag 24.02.2018 18:00;KV Mechelen;Sporting Charleroi;1 - 1
zaterdag 24.02.2018 20:00;KAS Eupen;Sporting Lokeren;3 - 2
zaterdag 24.02.2018 20:00;KV Oostende;STVV;2 - 0
zaterdag 24.02.2018 20:30;Waasland-Beveren;KAA Gent;1 - 2
zondag 25.02.2018 14:30;RSC Anderlecht;RE Mouscron;5 - 3
zondag 25.02.2018 18:00;Standard de Liège;Club Brugge;1 - 1
zondag 25.02.2018 20:00;KV Kortrijk;SV Zulte Waregem;0 - 1
zaterdag 03.03.2018 20:00;Club Brugge;KV Kortrijk;2 - 1
zaterdag 03.03.2018 20:00;Standard de Liège;KV Mechelen;3 - 2
zaterdag 03.03.2018 20:00;KAA Gent;KV Oostende;2 - 3
zaterdag 03.03.2018 20:00;RE Mouscron;Sporting Lokeren;1 - 2
zaterdag 03.03.2018 20:00;SV Zulte Waregem;RSC Anderlecht;2 - 3
zaterdag 03.03.2018 20:00;Sporting Charleroi;STVV;0 - 0
zaterdag 03.03.2018 20:00;Antwerp;KAS Eupen;2 - 0
zaterdag 03.03.2018 20:00;Waasland-Beveren;KRC Genk;0 - 1
zondag 11.03.2018 14:30;RSC Anderlecht;Antwerp;2 - 1
zondag 11.03.2018 14:30;KRC Genk;KAA Gent;1 - 2
zondag 11.03.2018 14:30;KV Kortrijk;Sporting Charleroi;2 - 0
zondag 11.03.2018 14:30;KAS Eupen;RE Mouscron;4 - 0
zondag 11.03.2018 14:30;KV Oostende;Standard de Liège;2 - 3
zondag 11.03.2018 14:30;KV Mechelen;Waasland-Beveren;2 - 0
zondag 11.03.2018 14:30;Sporting Lokeren;SV Zulte Waregem;0 - 2
zondag 11.03.2018 14:30;STVV;Club Brugge;0 - 1
